"","NUMPC","TVCOLOR","INTRR","MONEYPY","TVRR","FUELRR","TOTSQFT","NHSLDMEM"
"414",0,2,NA,6,5,"Electricity",574,2
"415",1,2,1,10,4,"Fuel Oil",3062,2
"416",0,4,NA,7,4,"Natural Gas",1833,6
"417",1,4,1,5,3,"Natural Gas",1394,6
"418",1,1,1,5,3,"Electricity",608,1
"419",1,3,1,12,2,NA,1134,1
"420",2,2,1,23,4,"Natural Gas",1912,1
"421",1,2,1,5,3,"Electricity",680,2
"422",1,5,1,8,5,"Natural Gas",1275,4
"423",2,4,1,19,2,"Natural Gas",2604,4
"424",0,2,NA,7,2,"Natural Gas",1242,1
"425",1,2,1,13,5,"Electricity",1938,2
"426",1,1,1,23,2,"Natural Gas",1716,2
"427",0,2,NA,7,1,"Electricity",1359,1
"428",0,4,NA,10,4,"Natural Gas",2400,5
"429",1,1,1,13,1,"Electricity",1260,1
"430",0,2,NA,4,2,"Natural Gas",925,1
"431",1,1,1,20,1,"Natural Gas",4218,2
"432",1,2,1,6,4,"Electricity",780,4
"433",1,1,1,8,2,"Natural Gas",586,2
"434",2,4,1,8,5,"Natural Gas",1681,2
"435",1,4,1,19,4,"Electricity",1080,4
"436",2,3,1,24,3,"Fuel Oil",3456,3
"437",1,1,0,7,1,"Electricity",1008,2
"438",3,2,1,13,4,"Electricity",2200,3
"439",4,3,1,16,3,"Natural Gas",2542,3
"440",1,2,1,9,2,"Fuel Oil",1508,1
"441",5,7,1,21,3,"Electricity",3010,4
"442",3,6,1,24,3,"Electricity",4230,2
"443",0,2,NA,7,4,"Natural Gas",2316,2
"444",1,2,1,19,3,"Natural Gas",1920,2
"445",0,2,NA,6,5,"Natural Gas",495,1
"446",1,3,1,14,3,"Natural Gas",2392,2
"447",1,2,1,15,3,"Electricity",2080,3
"448",1,3,1,24,2,"Natural Gas",3322,1
"449",2,3,1,17,3,"Electricity",3304,3
"450",1,4,1,18,4,"Electricity",1425,6
"451",4,1,1,24,1,"Natural Gas",1164,1
"452",1,2,1,14,3,"Electricity",1748,3
"453",1,2,1,23,2,"Natural Gas",6336,2
"454",1,1,1,14,1,"Natural Gas",2288,1
"455",0,1,NA,13,3,"Electricity",2590,2
"456",2,3,1,12,3,"Natural Gas",1970,4
"457",1,2,1,2,2,"Natural Gas",2365,1
"458",0,3,NA,7,3,"Natural Gas",1230,1
"459",1,2,1,11,3,"Electricity",1692,2
"460",1,3,1,18,3,"Electricity",2935,3
"461",2,5,1,14,1,"Natural Gas",3100,1
"462",1,3,1,24,2,"Electricity",3264,4
"463",2,4,1,22,5,"Electricity",2028,4
"464",2,2,1,17,4,"Natural Gas",1508,3
"465",1,4,1,9,5,"Natural Gas",916,4
"466",1,4,1,5,4,"Electricity",3407,1
"467",2,4,1,12,3,"Natural Gas",1840,2
"468",3,6,1,23,3,"Electricity",1974,7
"469",1,1,1,9,4,"Electricity",784,1
"470",0,3,NA,10,2,"Electricity",1368,3
"471",3,1,1,24,1,"Natural Gas",2057,3
"472",6,3,1,23,2,"Natural Gas",2701,5
"473",1,3,1,18,4,"Fuel Oil",1482,5
"474",2,1,1,9,1,"Natural Gas",826,1
"475",1,4,1,1,3,"Natural Gas",4800,4
"476",1,2,1,15,3,"Electricity",2322,3
"477",4,5,1,14,1,"Natural Gas",7638,5
"478",0,2,NA,5,2,"Electricity",1221,2
"479",3,5,1,14,4,"Electricity",1848,4
"480",1,3,1,23,3,"Natural Gas",3449,3
"481",0,1,NA,7,3,"Electricity",924,2
"482",2,1,1,9,3,"Natural Gas",1753,3
"483",1,3,1,7,2,"Electricity",1096,4
"484",4,3,1,20,2,"Natural Gas",1684,2
"485",2,3,1,17,3,"Natural Gas",4860,5
"486",1,2,1,17,3,"Natural Gas",1404,2
"487",0,1,NA,9,2,"Electricity",497,2
"488",0,1,NA,6,3,"Natural Gas",608,1
"489",0,2,NA,5,2,"Natural Gas",634,1
"490",0,1,NA,6,2,"Natural Gas",272,1
"491",1,5,1,23,3,"Natural Gas",2968,4
"492",0,1,NA,7,5,"Natural Gas",840,2
"493",3,3,1,24,3,"Electricity",2656,5
"494",1,1,0,12,1,"Electricity",3894,1
"495",1,3,1,15,1,"Fuel Oil",3224,2
"496",2,6,1,12,5,"Natural Gas",1920,2
"497",1,4,1,10,4,"Electricity",1280,4
"498",0,2,NA,4,3,"Electricity",968,1
"499",2,5,1,14,3,"Natural Gas",4729,2
"500",1,2,1,24,3,"Natural Gas",3360,2
"501",1,3,1,7,5,"Electricity",4244,2
"502",0,3,NA,13,3,"Natural Gas",3320,2
"503",1,1,1,11,2,"Natural Gas",2924,1
"504",1,1,1,16,2,"Natural Gas",1440,2
"505",1,2,1,12,3,"Natural Gas",776,6
"506",0,2,NA,7,3,"Natural Gas",1293,2
"507",3,3,1,19,3,"Natural Gas",1738,3
"508",1,4,1,23,3,"Natural Gas",1326,6
"509",1,1,1,16,3,"Electricity",1380,2
"510",2,6,1,7,5,"Electricity",4306,5
"511",1,2,1,3,5,"Fuel Oil",664,1
"512",1,1,1,11,3,"Natural Gas",592,3
"513",1,4,1,6,3,"Natural Gas",2550,1
"514",0,4,NA,16,5,"Natural Gas",1792,4
"515",0,1,NA,5,4,"Natural Gas",432,1
"516",1,4,1,7,4,"Electricity",1151,3
"517",1,1,1,7,3,"Propane",2400,2
"518",0,1,NA,1,3,"Natural Gas",845,1
"519",2,1,1,10,2,"Natural Gas",1247,1
"520",2,1,1,11,3,"Electricity",625,1
"521",0,2,NA,7,3,"Electricity",2436,1
"522",4,4,1,14,4,"Natural Gas",5100,4
"523",0,1,NA,17,1,"Electricity",3325,1
"524",2,2,1,24,2,"Electricity",4735,5
"525",1,2,1,7,3,"Natural Gas",2050,2
"526",0,1,NA,6,4,"Natural Gas",881,2
"527",3,2,1,22,3,"Electricity",1137,4
"528",0,1,NA,2,3,"Electricity",443,1
"529",1,3,1,24,2,"Natural Gas",2700,4
"530",1,2,1,16,4,"Natural Gas",3189,2
"531",1,1,1,5,2,"Electricity",544,2
"532",2,2,1,12,2,"Natural Gas",1290,1
"533",1,1,1,24,4,"Natural Gas",3020,2
